Tiempo;Amplitud;Fase;Volt-Bateria;pin1;pin2;pin3;pin4;pin5
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.2873098850250244;0.5015389323234558;4.7133307456970215;1.1533981561660767;1.1512640714645386;1.1515467166900635;1.153226375579834;1.151534080505371;1.207912564277649
0.6099967956542969;0.5070496797561646;4.6750946044921875;1.128217339515686;1.1282066106796265;1.1275185346603394;1.1273515224456787;1.12723708152771;1.1302909851074219
0.9327127933502197;0.5074640512466431;4.669656276702881;1.1279520988464355;1.1279305219650269;1.1274030208587646;1.1278562545776367;1.1272532939910889;1.1267048120498657
1.2554547786712646;0.5072185397148132;4.67210054397583;1.126552700996399;1.126468300819397;1.1280509233474731;1.128296971321106;1.1279041767120361;1.1271922588348389
1.5781989097595215;0.5066455006599426;4.679898262023926;1.1257041692733765;1.1264053583145142;1.1267640590667725;1.126877784729004;1.1282323598861694;1.1281533241271973
1.900993824005127;0.5072353482246399;4.679854869842529;1.127134084701538;1.126198172569275;1.1263065338134766;1.126097559928894;1.126791000366211;1.1269274950027466
2.223691940307617;0.5253772735595703;4.6788153648376465;1.1274802684783936;1.1272317171096802;1.1273868083953857;1.1255789995193481;1.1259580850601196;1.1264867782592773
2.546428918838501;0.5268640518188477;4.673389434814453;1.1265376806259155;1.1275484561920166;1.1280646324157715;1.1274018287658691;1.1276460886001587;1.127617359161377
2.8691787719726562;0.5233245491981506;4.674274444580078;1.1261945962905884;1.126298189163208;1.1268161535263062;1.127918004989624;1.1282227039337158;1.1280137300491333
3.191910982131958;0.5229616761207581;4.680240631103516;1.1256011724472046;1.1259275674819946;1.1262125968933105;1.126423954963684;1.1263455152511597;1.1273269653320312
3.514716863632202;0.5140089988708496;4.681575298309326;1.126732349395752;1.1257389783859253;1.1270580291748047;1.1263138055801392;1.126074194908142;1.1267179250717163
3.8374178409576416;0.5134515166282654;4.674055099487305;1.12754487991333;1.1277035474777222;1.1275688409805298;1.1277114152908325;1.1274969577789307;1.1264299154281616
4.160151958465576;0.5132221579551697;4.6727094650268555;1.1262251138687134;1.1262922286987305;1.1282083988189697;1.1282036304473877;1.127432942390442;1.1272897720336914
4.482903957366943;0.5126904249191284;4.678930759429932;1.125478982925415;1.1256017684936523;1.1266000270843506;1.1268407106399536;1.1275269985198975;1.1279467344284058
4.8056488037109375;0.5137096047401428;4.68158483505249;1.1270275115966797;1.1264994144439697;1.1264586448669434;1.1262778043746948;1.1268646717071533;1.126832365989685
5.12844705581665;0.5135634541511536;4.671163082122803;1.127178430557251;1.1272988319396973;1.1277544498443604;1.1275551319122314;1.1264598369598389;1.1261605024337769
5.451150894165039;0.5124125480651855;4.673722267150879;1.1258376836776733;1.1272095441818237;1.1278358697891235;1.1279168128967285;1.1277490854263306;1.1275575160980225
5.773918151855469;0.511928141117096;4.675242900848389;1.125425100326538;1.1263659000396729;1.1259982585906982;1.1272616386413574;1.1280275583267212;1.128056287765503
6.096653938293457;0.5133209824562073;4.680893421173096;1.1266400814056396;1.1259509325027466;1.1259251832962036;1.1267735958099365;1.1267868280410767;1.1272526979446411
6.419454097747803;0.5133029818534851;4.68157434463501;1.127070665359497;1.1263964176177979;1.126671314239502;1.124992847442627;1.1262292861938477;1.1267927885055542
6.742203235626221;0.5122371315956116;4.673762321472168;1.1275460720062256;1.1272592544555664;1.1276286840438843;1.120802402496338;1.1277269124984741;1.1264245510101318
7.064899921417236;0.511967658996582;4.673817157745361;1.1261730194091797;1.1263532638549805;1.1276472806930542;1.126440167427063;1.1278311014175415;1.127686858177185
7.387660980224609;0.512016773223877;4.681711196899414;1.1255484819412231;1.1258646249771118;1.1264011859893799;1.125170111656189;1.126983880996704;1.127558708190918
7.710389137268066;0.5123089551925659;4.681145668029785;1.1271988153457642;1.1268460750579834;1.1262269020080566;1.1258658170700073;1.1267545223236084;1.1266125440597534
8.033183097839355;0.5122095942497253;4.673052787780762;1.1261054277420044;1.1274933815002441;1.1276963949203491;1.1276185512542725;1.12630295753479;1.126386284828186
8.3558931350708;0.5118598937988281;4.6722259521484375;1.1253377199172974;1.1271352767944336;1.1274772882461548;1.128156304359436;1.1275886297225952;1.1273592710494995
8.678619384765625;0.5117964148521423;4.67492151260376;1.1256035566329956;1.1260557174682617;1.1266371011734009;1.1272934675216675;1.1279659271240234;1.1280497312545776
9.001385688781738;0.5152975916862488;4.681771278381348;1.1268250942230225;1.1257976293563843;1.1264461278915405;1.126279592514038;1.1262623071670532;1.1268209218978882
9.32415771484375;0.5124365091323853;4.681092262268066;1.1273479461669922;1.1269102096557617;1.1277623176574707;1.1260730028152466;1.1264029741287231;1.126213788986206
9.64686107635498;0.5119826197624207;4.669864654541016;1.1265568733215332;1.1275599002838135;1.1281850337982178;1.1276274919509888;1.1277574300765991;1.1257132291793823
9.969619750976562;0.5130407214164734;4.673851490020752;1.1260077953338623;1.1263209581375122;1.1271946430206299;1.1282424926757812;1.1282155513763428;1.127514362335205
10.292367935180664;0.5123748779296875;4.6816253662109375;1.125746726989746;1.1260796785354614;1.1266041994094849;1.1269155740737915;1.1263322830200195;1.1277568340301514
10.61510944366455;0.5119754672050476;4.681270599365234;1.126778483390808;1.1269257068634033;1.1263916492462158;1.1265137195587158;1.1261605024337769;1.1268454790115356
10.937891960144043;0.5127772688865662;4.67164421081543;1.1277611255645752;1.12725031375885;1.1276274919509888;1.1261945962905884;1.126991629600525;1.12647545337677
